name,id,primary_economy,x,y,z,population,edsm_id,needs_permit
Anezgan,963,Agriculture,-88.59375,10.40625,-71.28125,2158830761,5536,0
Angurongo,990,High Tech,72.6875,-159.375,31.28125,9387863,12841,0
Ankou,1006,Refinery,95.1875,-90.5,14.65625,3341225,1696,0
Anlave,1007,High Tech,-25.375,1.125,-20.84375,5120213960,4133,0
Anouphis,1026,Agriculture,-97.53125,1.5,46.875,6316244244,2868,0
Antal,1030,High Tech,-142.5,-91.375,-66.03125,14826668,10528,0
Anum,1055,High Tech,143,-90.9375,-18.8125,9753433,13684,0
Ao Ch'an,1071,Agriculture,86.21875,-124.4375,106.125,2458697855,9996,0
Ao Qin,1083,High Tech,-62.90625,46.78125,1.53125,20857350,19204,0
Aonga,1092,Agriculture,-34.46875,9.53125,-90.875,1217194318,18451,0
Aonikenk,1098,Agriculture,-88.96875,-79.5625,-62.34375,4170419514,10479,0
Aornum,1100,Agriculture,7.5625,-34.90625,31.625,945827382,11560,0
Aowindui,1103,Extraction,160.21875,-43.0625,-7.34375,2185296,13933,0
Apadecavi,1110,High Tech,-5.25,5.59375,-117.5625,7778187,19086,0
Apala,1113,High Tech,-59.5625,31.65625,-23.3125,17680971,14655,0
Apaline,1116,Extraction,2.59375,90.03125,-161.75,2075167,17354,0
Apam Napat,1118,High Tech,10.09375,-90.46875,-0.71875,2500000,18629,0
Apishna,1134,Extraction,45.5625,-106.375,-22.09375,4010846,11566,0
Apisni,1136,Agriculture,120.78125,-68.90625,48.4375,571137374,18254,0
Apoya,1143,Extraction,4.90625,-107.125,-122.8125,1756748,12919,0
Apurusia,1164,Extraction,8.46875,-172,-20.28125,8197970,3785,0
Arabh,1175,Agriculture,-73.625,64.46875,11.96875,4721499383,19442,0
Arakapajo,1192,High Tech,144.34375,-73.375,-12.28125,50951416,8566,0
Arakwibut,1196,High Tech,-107.40625,-59.96875,102.15625,3090625,2373,0
Aramzahd,1203,Extraction,66.46875,-144.46875,29.875,11999999,5633,0
Arawotyan,1233,Terraforming,27.90625,137.5,-37.03125,30372302,14961,0
Arcturus,1236,Extraction,-3.53125,34.15625,12.96875,400000000,12678,0
Arek,1248,Agriculture,21.59375,61.6875,113.09375,880415636,18075,0
Arevakimos,1251,Agriculture,29.4375,-64.96875,89.6875,4107423543,9422,0
Arexe,1255,High Tech,69.375,38.90625,78.0625,5127036,5582,0
Argestes,1260,Agriculture,21.78125,-20.15625,-58.9375,2123387098,18051,0
Ari Hesa,1264,Agriculture,-116.9375,11.5625,46.0625,7021101832,3715,0
Arimpox,1289,Agriculture,-39.90625,109.5625,10.40625,2118157505,4668,0
Aritimi,1296,Agriculture,-64.65625,31.0625,19.875,680115139,8875,0
Arjung,1297,High Tech,15.53125,-100.1875,-87.28125,23720204,3403,0
Arro Kop,1315,High Tech,100.3125,38.71875,94.0625,6203393,10997,0
Arro Na,1316,High Tech,117.46875,19.8125,-4.78125,3128350,9268,0
Arth,1319,High Tech,36.375,-15.40625,32.9375,6526266,2955,0
Artume,1326,High Tech,-35.21875,-42.625,-49.65625,2500000,24,0
Arugbatz,1333,Extraction,-123.15625,118.65625,-63.1875,3586128,15515,0
Aruntei,1343,Extraction,144.34375,-144,-63.90625,3657420,12645,0
Asgaa,1378,High Tech,-19.125,10.6875,87.34375,12533400,7799,0
Asing Linga,1387,Terraforming,-133.25,48.28125,33.09375,127188289,4675,0
Asturindjin,1407,High Tech,67.78125,-0.9375,148.375,15567873,8844,0
Asurati,1409,Agriculture,116.65625,-92.1875,34.5625,7817076444,17571,0
Atagat,1424,High Tech,-1.8125,-11.28125,-29.21875,57831908,15038,0
Atata,1429,High Tech,-47.09375,-81.90625,71.4375,8322412,14632,0
Atatis,1430,High Tech,-51.25,109.0625,-96.8125,15428564,14049,0
Atlantis,1446,High Tech,65.875,-117.96875,47.71875,30486828,9241,0
Atropos,1458,Agriculture,41.40625,-29.6875,-27.625,4373898088,13674,0
Aulin,1488,High Tech,-19.6875,32.6875,4.75,7500000,26,0
Aulis,1489,Extraction,-16.46875,44.1875,-11.4375,3945011,10890,0
Autroch,1531,Extraction,31.125,-139.96875,157.6875,3549701,18966,0
Avalo,1532,Extraction,178.78125,-132.75,61.34375,18468998,17061,0
Avalon,1533,High Tech,50.1875,-132.96875,36.1875,1500000,5642,0
Avikarli,1543,High Tech,-4.0625,140.03125,35.78125,11990227,538,0
Awabara,1546,Military,-131.125,-11.21875,17.625,519649,12096,0
Awabatamori,1547,Extraction,-110.78125,39.46875,-35.59375,2074508,10116,0
Awara,1550,Extraction,67.21875,-72.65625,-127.34375,1829942,502,0
Awawar,1555,High Tech,-54.75,76.53125,39.1875,12544097,1803,0
Awonai,1563,Agriculture,-2.46875,41.3125,-96.25,7376690626,2475,0
Aymifa,1572,Refinery,66.5,-109.25,1.875,97999999,3056,0
AZ Cancri,1582,High Tech,19.65625,26.84375,-38.09375,10172044,8469,0
Azrael,1590,Extraction,85.71875,-104.5625,16.25,4500000,11296,0
b2 Carinae,1596,Agriculture,84.5625,-12.875,10.4375,8915749847,1341,0
Ba Po,1610,Extraction,-18.125,16.5625,81.78125,6150241,2297,0
Bacamu,1622,Refinery,153.0625,-106.21875,24.3125,563781,3136,0
Backlum,1628,Extraction,142.4375,-176.28125,24.3125,11285129,13459,0
Bactrimpox,1633,High Tech,-123.25,82,-84,15820927,1238,0
Badbadzist,1636,High Tech,19.65625,-136.03125,-71.40625,42203177,7083,0
Badimo,1639,Military,146.625,81.65625,18.09375,631910,17756,0
Baedule,1649,High Tech,46.78125,-54.78125,3.1875,4647148,12359,0
Baga,1653,Agriculture,-110.3125,15.125,-45.25,277722960,3539,0
Bahinga,1665,Industrial,-46.6875,-142.53125,67.03125,6458523,10417,0
Bajang,1679,Extraction,-157.8125,25.5625,76.1875,2440734,15393,0
Bajoji,1686,High Tech,92.59375,-32.9375,95.53125,6689217,13907,0
Balatu,1716,Extraction,2.65625,-8.3125,53.65625,3327978,2410,0
Balmung,1729,Agriculture,34.5,-68.59375,69.375,3022680521,14422,0
Bamani,1742,Agriculture,-46.40625,-115.1875,-55.40625,942287355,13445,0
Banapityas,1756,Agriculture,98.84375,-2.84375,24.28125,1119339704,16319,0
Banephtha,1772,Extraction,-82.8125,-23.96875,140.8125,3010491,8040,0
Banisas,1781,High Tech,-97.34375,42.625,-6.9375,5679644,17378,0
Barathaona,1800,Agriculture,84.15625,12.78125,-1.875,1199887931,4043,0
Barbaram,1804,Extraction,138.5,-99.78125,-45.78125,9985062,9129,0
Barku,1814,High Tech,88.28125,68.875,17.28125,3382934,12723,0
Barnard's Star,1815,Refinery,-3.03125,1.375,4.9375,1248653,13212,0
Basus,1847,Refinery,-95.65625,38.0625,-13.46875,524019,3863,0
Basuseku,1848,Extraction,158.34375,-201.96875,49.125,4543662,19564,0
Bataenich,1849,Extraction,97.0625,-141.125,-10.8125,8533301,10026,0
BD+02 305,1880,High Tech,-8.90625,-28.84375,-17.90625,7990921,16554,0
BD+02 4718,1881,High Tech,-46.4375,-69.59375,-4.375,10955267,6935,0
BD+11 2673,1910,Agriculture,-1.65625,103.625,54.03125,6203912258,11456,0
BD+19 2443,1937,Extraction,30.375,93.84375,-22.875,6266204,10645,0
BD+20 1018,1940,Extraction,12,-10.28125,-108.6875,4484308,15482,0
BD+22 2742,1946,Agriculture,-17.875,75.65625,33.40625,5509806454,16911,0
BD+24 1451,1954,High Tech,19.4375,20.40625,-93.40625,12081073,8892,0
BD+27 1739,1961,High Tech,15.53125,42.78125,-43.15625,10994448,7824,0
BD+31 2373,1971,Agriculture,-1.53125,97.3125,-9.15625,4760739386,19975,0
BD+33 3582,1978,Agriculture,-64.125,5.09375,24.6875,508029216,16117,0
BD+37 2625,1987,Agriculture,-55,100.28125,32.03125,567250078,4117,0
BD+39 876,1991,Agriculture,-42.40625,-20.0625,-100.0625,1758319854,9572,0
BD+40 2208,1992,Tourism,2.6875,53.53125,-51.21875,542923,15244,0
BD+40 2903,1993,High Tech,-39,58.625,19.15625,20230514,7229,0
BD+41 1865,1994,High Tech,0.28125,29.25,-37.53125,15955826,10304,0
BD+43 2989,1998,Agriculture,-104.5,44.34375,33.3125,3266105294,3786,0
BD+43 866,1999,Agriculture,-45.25,-12.78125,-101.15625,6149564623,16379,0
BD+46 2014,2004,Agriculture,-56.28125,94.21875,13.3125,2926591753,16580,0
BD+48 738,2011,Extraction,-93.53125,-24.46875,-114.71875,2530147,9984,0
BD+55 1142,2017,High Tech,-26.09375,34.1875,-75.21875,9315090,998,0
BD+56 1773,2021,High Tech,-69.3125,93.375,-3.6875,4915737,3689,0
BD+63 1764,2027,Agriculture,-113.25,16.78125,-28.34375,7050585091,399,0
BD+65 1846,2029,Agriculture,-60.3125,7.125,-25.53125,8786954045,13819,0
BD+73 447,2042,High Tech,-59.8125,67.21875,-70.625,4807512,6259,0
BD+75 58,2044,High Tech,-43.5625,13.46875,-30.46875,14077075,5702,0
BD-00 3426,2047,Agriculture,-45.53125,14.59375,85.125,2758264780,11066,0
BD-02 4304,2054,Agriculture,-30.75,38.15625,94.6875,8224110066,3767,0
BD-12 4699,2078,Agriculture,-16.34375,21.6875,84.53125,3571994185,17680,0
BD-12 5409,2079,High Tech,-51.65625,-29.21875,103.65625,28249946,16425,0
BD-19 3629A,2095,Agriculture,54.21875,61.40625,41.8125,3677783191,2192,0
BD-20 2665,2097,High Tech,105.6875,27.5,-46.8125,6516639,18322,0
BD-21 4791,2101,Agriculture,-50.375,-62.40625,-65.90625,5600349247,1376,0
BD-22 3573,2104,Agriculture,68.0625,75.3125,63.375,9795262157,4271,0
Beargk,2109,High Tech,31.71875,-91.75,135.28125,6823929,11268,0
Beker,2127,Agriculture,134.59375,-110.375,46.125,11750344038,6591,0
Bela Wena,2131,Military,-13.46875,-182.1875,81.375,594955,8019,0
Belalans,2140,Agriculture,81.625,-94.875,-58.5625,704852986,19035,0
Belarsuk,2144,High Tech,48.9375,-20.78125,37.375,6191516,16592,0
Belis,2166,Extraction,-148.75,-21.6875,-39.6875,1674785,7980,0
Bellaung,2173,Extraction,181.5,-136.125,-2.1875,12247374,1602,0
Benapus,2193,Agriculture,-22.6875,20.28125,-121.1875,2172919213,6763,0
Bende,2195,Extraction,131.0625,-240.875,74.6875,7791897,4223,0
Beronii,2211,Extraction,58.8125,50.875,40.25,1706429,8251,0
Bes,2216,Agriculture,131.71875,-107.59375,46.4375,5094168007,16787,0
Beta Circini,2226,Agriculture,62.375,-2.71875,77.65625,7513487160,2141,0
Beta Hydri,2230,Extraction,15.28125,-15.6875,10.5625,6000000000,15573,1
Beta Sculptoris,2235,High Tech,4.875,-164.53125,56.5625,14173728,11155,0
Beta Trianguli Australis,2236,Agriculture,24.53125,-5.59375,31.5625,14039439558,12834,0
Beta-1 Tucanae,2238,High Tech,63.375,-109.71875,46.71875,26723431,19916,0
Bhaguru,2263,High Tech,-4.84375,96.90625,-60.59375,3299572,4599,0
Bhaja,2271,Extraction,-64.125,-84.9375,-33.78125,1734491,4240,0
Bharaba,2279,Agriculture,121.875,-91.5625,75,2350140511,4751,0
Bhattra,2289,Extraction,-90.125,-54.375,95.125,2664892,12886,0
Bhavas,2292,High Tech,138.1875,-103.5625,-41.96875,12633007,9836,0
Bhil Mina,2294,Agriculture,59.1875,1.65625,41.625,2849290072,9630,0
Bhritzameno,2316,High Tech,-11.3125,-1.03125,15.34375,18259362,19702,0
Bhutas,2332,High Tech,86.4375,51,91.0625,6329385,6392,0
Bielenses,2368,Terraforming,-145.625,-13.46875,8.125,58688567,6656,0
Bijemayah,2376,Industrial,140.90625,-208.75,25.3125,3451819,834,0
Bikeggirina,2377,High Tech,33.59375,-183.875,96.96875,10255629,16416,0
Bilonesses,2390,Agriculture,63.4375,119.25,-25.375,2121957182,18005,0
Bipek,2414,Terraforming,20.5,-203.9375,60.875,1197899758,2493,0
Bishamuni,2432,Terraforming,-77.53125,-119.25,32.6875,2323870,8355,0
Bjortii,2442,Extraction,57.46875,-114.25,-101.03125,5171127,5643,0
Blango,2445,Military,-66.96875,111.875,-13.46875,579389,9599,0
Blende,2454,Extraction,171.71875,46.0625,2.90625,4509493,6324,0
BO Microscopii,2468,Terraforming,-12.96875,-90.875,112.03125,189660120,4323,0
Bolowari,2515,Colony,27.15625,-159.4375,-13.34375,541645,1720,0
Borasetani,2529,High Tech,0.21875,117.75,-18.03125,10622647,4506,0
Borr,2545,High Tech,7.65625,-31.0625,-39.28125,51270619,2451,0
Bragit,2573,Extraction,143.1875,-129.40625,-61.8125,2982318,14804,0
Bragur,2576,Agriculture,94.03125,-113.125,-5.25,4353367567,2059,0
Bragurom Du,2577,High Tech,17.4375,61.1875,-6.53125,21419296,11130,0
Branglal,2584,High Tech,18.90625,34.28125,-77.15625,8266562,19889,0
Brani,2585,Agriculture,-65.90625,-11.8125,52.53125,4276068270,18319,0
Bratio,2590,Extraction,-61.71875,-162.84375,-78.96875,2357909,7167,0
Brestla,2595,High Tech,159.46875,-103.75,-19.6875,12372820,13827,0
Bridi,2604,High Tech,102.125,-73.40625,26.875,42390096,8094,0
Bugayaman,2650,High Tech,55.0625,87.28125,56.78125,5317032,12008,0
Bumbindal,2670,High Tech,84.1875,-166.15625,140.0625,8444792,17710,0
Burod,2693,Military,-16,-197.375,40.59375,542630,19430,0
Caelinus,2749,Extraction,0.1875,-18.625,52.0625,7500000,14465,0
Caeriango,2760,Extraction,138.375,-182.125,102.78125,3367610,19180,0
Caeritis,2761,High Tech,119.8125,-4.9375,-23.0625,11087012,10861,0
Caerus,2763,Agriculture,13.125,-27.4375,-50.9375,6984041154,6496,0
Caill Reddi,2775,Extraction,-61.375,-21.90625,-78.25,5615932,12404,0
Calea,2788,Refinery,78.78125,-81.84375,45.1875,621646,6909,0
Caledo,2789,Agriculture,99.0625,-87.375,76.96875,3793726921,5999,0
Cama Zotz,2809,High Tech,42.71875,-47.125,-45.5,7209986,17682,0
Camazotz,2815,Agriculture,38.15625,12.65625,97.375,8139030158,16630,0
Camuten,2828,Refinery,158.40625,-67.375,47.28125,842003,16816,0
Can Qing,2831,High Tech,59.71875,-185.8125,102.6875,9283748,2060,0
Candiaei,2844,Agriculture,-113.5,-4.9375,66.84375,4297550439,3080,0
Cantjarisni,2855,High Tech,-45.09375,43.5625,82.6875,11036083,19876,0
Carener,2889,High Tech,-5.5625,-14.625,15.28125,10878310,8044,0
Carici,2900,Extraction,-157.5,-67.46875,15.5,2697344,588,0
Carnoeck,2912,High Tech,35.96875,5.1875,1.3125,34140565,16227,0
Carpaka,2917,High Tech,67.9375,-64.78125,-69.6875,10854992,12584,0
Carpaso,2919,Extraction,53.0625,73.15625,-72.625,1195256,7637,0
Cartoi,2927,Agriculture,155.96875,-110.75,29.71875,1797527313,13828,0
Cartoq,2928,Military,45.625,39.4375,60.46875,534711,366,0
Cartu,2929,High Tech,81.25,-58.46875,26.96875,36134512,11735,0
Cashis,2938,Extraction,87.71875,29.625,152.59375,2192659,8789,0
Caspatsuria,2942,High Tech,63.5,-116.90625,48.15625,11882318,16817,0
Catun,2956,High Tech,-4.71875,25.625,-105.0625,11450730,11339,0
Catuntinigi,2958,High Tech,-52.65625,30.78125,-51.90625,14104785,11524,0
Cauani,2962,Agriculture,-60.78125,18.78125,74.375,6167167723,5835,0
CD-24 5005,2985,High Tech,73.125,-9.84375,-46.1875,7018314,3413,0
CD-28 12950,2993,High Tech,6.21875,10.1875,110.71875,20842392,968,0
CD-28 18350,2994,High Tech,-12.3125,-112.0625,23.75,37306292,14330,0
CD-37 641,3014,Agriculture,27.65625,-112.75,-6.9375,4142480432,5892,0
CD-39 14212,3015,Agriculture,-6.125,-81.5625,79.75,10930830836,8513,0
CD-40 395,3018,Extraction,34,-119.8125,-1.03125,7757682,7328,0
CD-44 10336,3022,High Tech,53.34375,15.59375,102.9375,12153958,16821,0
CD-44 224,3024,High Tech,38.375,-154.90625,23.4375,15595248,18763,0
CD-46 14401,3029,High Tech,8.125,-62.625,37.375,5885051,13210,0
CD-51 102,3036,High Tech,40.71875,-124.15625,36.78125,10672279,8334,0
CD-51 1447,3037,Agriculture,95.59375,-68.21875,-19.625,958439475,16207,0
CD-51 881,3040,Refinery,75.75,-90.53125,-11.125,552889,19470,0
CD-53 136,3046,Refinery,51.71875,-131.625,37.28125,1597282,9039,0
CD-54 9671,3050,High Tech,33.9375,-97.34375,39.03125,15812007,13356,0
CD-58 538,3055,High Tech,32.125,-44.3125,4.90625,62297334,6443,0
CD-58 7880,3056,High Tech,32.78125,-85.40625,76.78125,33475319,6461,0
CD-60 7742,3063,High Tech,37.65625,-81.5,75.875,6053473,17661,0
CD-62 1454,3068,High Tech,50.9375,-103.59375,56.25,11932054,17184,0
CD-63 1560,3070,High Tech,42.375,-85.09375,64.15625,7803491,14522,0
CD-72 190,3084,High Tech,113.0625,-113.4375,47.0625,14190236,11078,0
CD-77 45,3092,Refinery,99.25,-98.6875,58.1875,9500000,677,0
CD-86 4,3095,High Tech,86.75,-64.78125,56.84375,13610160,15979,0
CD-87 103,3097,High Tech,76.5,-52.65625,54.84375,5541390,6857,0
CE Bootis,3098,High Tech,-5.40625,29.375,16.46875,25074771,19957,0
Celtani,3108,Extraction,107.78125,-10.53125,-84.375,1676076,15530,0
Cemiess,3114,Refinery,66.0625,-105.34375,27.09375,10000000000,2670,0
Cemplangpa,3115,Agriculture,26.0625,-165.75,-9.40625,7224520802,1124,0
Cennicenino,3120,Extraction,128.53125,-4.09375,-54.75,5716726,6389,0
Cerno,3132,High Tech,30.0625,26.875,-82.9375,12838950,25,0
Cernobog,3133,High Tech,77.71875,-140.28125,47.53125,23191719,13259,0
Ceronir,3137,Agriculture,128.8125,-114.53125,58.03125,3502375185,12717,0
Cerritics,3141,High Tech,1,43.03125,-163.53125,6213494,5060,0
Cerrodi,3142,Extraction,122.75,-204.5625,-11.21875,2916627,5277,0
Chamas,3186,Refinery,79.28125,40.25,153.125,11713666,15674,0
Chamuluma,3191,Extraction,105.90625,-90.46875,19.90625,2192712,4573,0
Chana,3194,Agriculture,103.75,-43.90625,-40.4375,6982734918,10711,0
Changai,3207,Terraforming,-32.4375,27.78125,136.625,98398888,10550,0
Changda,3209,Extraction,21.78125,63.6875,79.15625,3951516,10390,0
Chapsugaibo,3231,High Tech,42.5625,-80.78125,10.0625,12736432,3855,0
Charunder,3237,Agriculture,38.53125,-10.125,11.625,4032845437,19917,0
Chelmen,3263,High Tech,-65.96875,47.78125,-56.875,8156097,12249,0
Chhaleenes,3300,Terraforming,144.03125,-83.6875,30.75,345737713,13804,0
Chi Eridani,3303,Agriculture,26.28125,-51.75,4.625,2500000,13353,0
Chi Orionis,3311,High Tech,4.3125,-1.0625,-27.90625,27125644,19896,0
Chick Bara,3330,High Tech,124.34375,-95.53125,-5.09375,38240283,10096,0
Chicomoztoc,3334,Agriculture,84.21875,-105.59375,-15.03125,2812436997,8168,0
Chih Zhua,3342,High Tech,79.21875,-20.40625,26.875,26148105,19516,0
Chimba,3347,Agriculture,-68.59375,-7.03125,49.6875,3929920077,1189,0
Chirai,3379,High Tech,144.4375,-127.90625,26.90625,7930715,4700,0
Chnumar,3392,Extraction,107.46875,-170.34375,70.59375,15539330,10716,0
Ch'ol,3405,Extraction,-88.4375,61.375,160.15625,1980614,9061,0
Chona,3409,High Tech,108.0625,-111.46875,65.4375,14984303,3223,0
Chons,3419,Agriculture,47.3125,-68.53125,-95.9375,1874128282,18541,0
Chorathia,3427,Extraction,138.6875,3.9375,-38.3125,1674418,10778,0
Chuanabosso,3447,High Tech,-100.96875,-0.78125,-99.34375,6011203,4135,0
Chukun,3468,Refinery,9.78125,-145.8125,-87.8125,640960,15290,0
Chun Tstar,3475,Agriculture,108.21875,-11.28125,60.78125,380896824,11684,0
Cibola,3499,Refinery,65.25,-156.4375,6.1875,750000,12869,0
Cimmerians,3513,Extraction,44.375,68.65625,-128,3274750,1816,0
Clee,3531,Agriculture,31.46875,20.15625,125.84375,1239511966,16589,0
Clido Pi,3533,Extraction,130.78125,-130.40625,46.96875,5333505,15428,0
Clionenses,3535,Extraction,-31.1875,35.125,-149.03125,4238803,4999,0
Cockaigne,3556,High Tech,61.75,-130.15625,-1.71875,5000000,8082,0
Codorain,3565,Extraction,68.625,37.46875,42.625,550000,19762,0
Coelesi,3572,Military,164.15625,-145.5,-29.375,699366,3562,0
